source_row_id,mandt,bukrs,belnr,gjahr,buzei,hkont,shkzg,dmbtr,wrbtr,kostl,aufnr,sgtxt
FI00000026,100,1000,1900000013,2026,001,500000,S,369.00,341.67,CC1000,,Synthetic operating expense
FI00000027,100,1000,1900000013,2026,002,200000,H,369.00,341.67,,,Synthetic vendor payable
FI00000028,100,1000,1900000014,2026,001,500100,S,892.00,892.00,CC2000,,Synthetic operating expense
FI00000029,100,1000,1900000014,2026,002,200000,H,892.00,892.00,,,Synthetic vendor payable
FI00000030,100,1000,1900000015,2026,001,500000,S,1916.00,1774.07,CC1000,,Synthetic operating expense
FI00000031,100,1000,1900000015,2026,002,200000,H,1916.00,1774.07,,,Synthetic vendor payable
FI00000032,100,1000,1900000016,2026,001,500100,S,2030.00,2030.00,CC2000,,Synthetic operating expense
FI00000033,100,1000,1900000016,2026,002,200000,H,2030.00,2030.00,,,Synthetic vendor payable
FI00000034,100,1000,1900000017,2026,001,500000,S,4264.00,3948.15,CC1000,,Synthetic operating expense
FI00000035,100,1000,1900000017,2026,002,200000,H,4264.00,3948.15,,,Synthetic vendor payable
FI00000036,100,1000,1900000018,2026,001,500100,S,342.00,342.00,CC2000,,Synthetic operating expense
FI00000037,100,1000,1900000018,2026,002,200000,H,342.00,342.00,,,Synthetic vendor payable
FI00000038,100,1000,1900000019,2026,001,500000,S,4722.00,4372.22,CC1000,,Synthetic operating expense
FI00000039,100,1000,1900000019,2026,002,200000,H,4722.00,4372.22,,,Synthetic vendor payable
FI00000040,100,1000,1900000020,2026,001,500100,S,1753.00,1753.00,CC2000,,Synthetic operating expense
FI00000041,100,1000,1900000020,2026,002,200000,H,1753.00,1753.00,,,Synthetic vendor payable
FI00000042,100,1000,1900000021,2026,001,500000,S,4589.00,4249.07,CC1000,,Synthetic operating expense
FI00000043,100,1000,1900000021,2026,002,200000,H,4589.00,4249.07,,,Synthetic vendor payable
FI00000044,100,1000,1900000022,2026,001,500100,S,3561.00,3561.00,CC2000,,Synthetic operating expense
FI00000045,100,1000,1900000022,2026,002,200000,H,3561.00,3561.00,,,Synthetic vendor payable
FI00000046,100,1000,1900000023,2026,001,500000,S,1930.00,1787.04,CC1000,,Synthetic operating expense
FI00000047,100,1000,1900000023,2026,002,200000,H,1930.00,1787.04,,,Synthetic vendor payable
FI00000048,100,1000,1900000024,2026,001,500100,S,3804.00,3804.00,CC2000,,Synthetic operating expense
FI00000049,100,1000,1900000024,2026,002,200000,H,3804.00,3804.00,,,Synthetic vendor payable
FI00000050,100,1000,1900000025,2026,001,500000,S,4952.00,4585.19,CC1000,,Synthetic operating expense
FI00000051,100,1000,1900000025,2026,002,200000,H,4952.00,4585.19,,,Synthetic vendor payable
FI00000052,100,1000,1900000026,2026,001,500100,S,2403.00,2403.00,CC2000,,Synthetic operating expense
FI00000053,100,1000,1900000026,2026,002,200000,H,2403.00,2403.00,,,Synthetic vendor payable
FI00000054,100,1000,1900000027,2026,001,500000,S,178.00,164.81,CC1000,,Synthetic operating expense
FI00000055,100,1000,1900000027,2026,002,200000,H,178.00,164.81,,,Synthetic vendor payable
FI00000056,100,1000,1900000028,2026,001,500100,S,1432.00,1432.00,CC2000,,Synthetic operating expense
FI00000057,100,1000,1900000028,2026,002,200000,H,1432.00,1432.00,,,Synthetic vendor payable
FI00000058,100,1000,1900000029,2026,001,500000,S,3587.00,3321.30,CC1000,,Synthetic operating expense
FI00000059,100,1000,1900000029,2026,002,200000,H,3587.00,3321.30,,,Synthetic vendor payable
FI00000060,100,1000,1900000030,2026,001,500100,S,2912.00,2912.00,CC2000,,Synthetic operating expense
FI00000061,100,1000,1900000030,2026,002,200000,H,2912.00,2912.00,,,Synthetic vendor payable
FI00000062,100,1000,1900000031,2026,001,500000,S,2401.00,2223.15,CC1000,,Synthetic operating expense
FI00000063,100,1000,1900000031,2026,002,200000,H,2401.00,2223.15,,,Synthetic vendor payable
FI00000064,100,1000,1900000032,2026,001,500100,S,1398.00,1398.00,CC2000,,Synthetic operating expense
FI00000065,100,1000,1900000032,2026,002,200000,H,1398.00,1398.00,,,Synthetic vendor payable
FI00000066,100,1000,1900000033,2026,001,500000,S,1888.00,1748.15,CC1000,,Synthetic operating expense
FI00000067,100,1000,1900000033,2026,002,200000,H,1888.00,1748.15,,,Synthetic vendor payable
FI00000068,100,1000,1900000034,2026,001,500100,S,2882.00,2882.00,CC2000,,Synthetic operating expense
FI00000069,100,1000,1900000034,2026,002,200000,H,2882.00,2882.00,,,Synthetic vendor payable
FI00000070,100,1000,1900000035,2026,001,500000,S,962.00,890.74,CC1000,,Synthetic operating expense
FI00000071,100,1000,1900000035,2026,002,200000,H,962.00,890.74,,,Synthetic vendor payable
FI00000072,100,1000,1900000036,2026,001,500100,S,884.00,884.00,CC2000,,Synthetic operating expense
FI00000073,100,1000,1900000036,2026,002,200000,H,884.00,884.00,,,Synthetic vendor payable
FI00000074,100,1000,1900000037,2026,001,500000,S,3237.00,2997.22,CC1000,,Synthetic operating expense
FI00000075,100,1000,1900000037,2026,002,200000,H,3237.00,2997.22,,,Synthetic vendor payable
FI00000076,100,1000,1900000038,2026,001,500100,S,917.00,917.00,CC2000,,Synthetic operating expense
FI00000077,100,1000,1900000038,2026,002,200000,H,917.00,917.00,,,Synthetic vendor payable
FI00000078,100,1000,1900000039,2026,001,500000,S,3065.00,2837.96,CC1000,,Synthetic operating expense
FI00000079,100,1000,1900000039,2026,002,200000,H,3065.00,2837.96,,,Synthetic vendor payable
FI00000080,100,1000,1900000040,2026,001,500100,S,2942.00,2942.00,CC2000,,Synthetic operating expense
FI00000081,100,1000,1900000040,2026,002,200000,H,2942.00,2942.00,,,Synthetic vendor payable
FI00000082,100,1000,1900000041,2026,001,500000,S,2291.00,2121.30,CC1000,,Synthetic operating expense
FI00000083,100,1000,1900000041,2026,002,200000,H,2291.00,2121.30,,,Synthetic vendor payable
FI00000084,100,1000,1900000042,2026,001,500100,S,480.00,480.00,CC2000,,Synthetic operating expense
FI00000085,100,1000,1900000042,2026,002,200000,H,480.00,480.00,,,Synthetic vendor payable
FI00000086,100,1000,1900000043,2026,001,500000,S,3888.00,3600.00,CC1000,,Synthetic operating expense
FI00000087,100,1000,1900000043,2026,002,200000,H,3888.00,3600.00,,,Synthetic vendor payable
FI00000088,100,1000,1900000044,2026,001,500100,S,4517.00,4517.00,CC2000,,Synthetic operating expense
FI00000089,100,1000,1900000044,2026,002,200000,H,4517.00,4517.00,,,Synthetic vendor payable
FI00000090,100,1000,1900000045,2026,001,500000,S,1147.00,1062.04,CC1000,,Synthetic operating expense
FI00000091,100,1000,1900000045,2026,002,200000,H,1147.00,1062.04,,,Synthetic vendor payable
FI00000092,100,1000,1900000046,2026,001,500100,S,3225.00,3225.00,CC2000,,Synthetic operating expense
FI00000093,100,1000,1900000046,2026,002,200000,H,3225.00,3225.00,,,Synthetic vendor payable
FI00000094,100,1000,1900000047,2026,001,500000,S,770.00,712.96,CC1000,,Synthetic operating expense
FI00000095,100,1000,1900000047,2026,002,200000,H,770.00,712.96,,,Synthetic vendor payable
FI00000096,100,1000,1900000048,2026,001,500100,S,4647.00,4647.00,CC2000,,Synthetic operating expense
FI00000097,100,1000,1900000048,2026,002,200000,H,4647.00,4647.00,,,Synthetic vendor payable
FI00000098,100,1000,1900000049,2026,001,500000,S,2526.00,2338.89,CC1000,,Synthetic operating expense
FI00000099,100,1000,1900000049,2026,002,200000,H,2526.00,2338.89,,,Synthetic vendor payable
FI00000100,100,1000,1900000050,2026,001,500100,S,3087.00,3087.00,CC2000,,Synthetic operating expense
FI00000101,100,1000,1900000050,2026,002,200000,H,3087.00,3087.00,,,Synthetic vendor payable
FI00000102,100,1000,1999999999,2026,001,500000,S,100.00,100.00,CC1000,,Injected orphan line
